ISIN,Name,Type,Region,Country,Country_Code,ETF_Provider,ETF_Subtype,Distribution,Currency_Name,Is_ADR,Page,Search_Key
AN8068571086,Schlumberger,Stock,Offshore/Islands,Netherlands Antilles,AN,,,Unknown,ANG,False,1,schlumberger
AT000000ETS9,Euro TeleSites,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,euro telesites
AT000000STR1,STRABAG,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,strabag
AT00000AMAG3,AMAG Austria Metall,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,amag austria metall
AT00000FACC2,FACC,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,facc
AT00000VIE62,Flughafen Wien,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,flughafen wien
AT0000606306,Raiffeisen Bank International,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,raiffeisen bank international
AT0000609607,PORR,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,porr
AT0000616701,ATHOS Immobilien,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,athos immobilien
AT0000625108,Oberbank,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,oberbank
AT0000625504,Bank für Tirol und Vorarlberg,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,bank für tirol und vorarlberg
AT0000641352,CA Immo,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,ca immo
AT0000644505,Lenzing,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,lenzing
AT0000652011,Erste Group Bank,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,erste group bank
AT0000720008,Telekom Austria,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,telekom austria
AT0000730007,Andritz,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,andritz
AT0000741053,EVN,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,evn
AT0000743059,OMV,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,omv
AT0000746409,VERBUND,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,verbund
AT0000758305,Palfinger,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,palfinger
AT0000785407,Fabasoft,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,fabasoft
AT0000785555,Semperit,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,semperit
AT0000815402,UBM Development,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,ubm development
AT0000818802,Do & Co,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,do & co
AT0000821103,UNIQA Insurance Group,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,uniqa insurance group
AT0000827209,Warimpex Finanz,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,warimpex finanz
AT0000831706,Wienerberger,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,wienerberger
AT0000834007,Wolford,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,wolford
AT0000837307,Zumtobel,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,zumtobel
AT0000908504,Vienna Insurance,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,vienna insurance
AT0000922554,Rosenbauer,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,rosenbauer
AT0000937503,Voestalpine,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,voestalpine
AT0000938204,Mayr Melnhof Karton,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,mayr melnhof karton
AT0000946652,SBO,Stock,Europe,Austria,AT,,,Unknown,EUR,False,1,sbo
AT0000969985,AT&S,Stock,Europe,Austria,AT,,,Unknown,EUR,False,2,at&s
AT0000A00XX9,Polytec Holding,Stock,Europe,Austria,AT,,,Unknown,EUR,False,2,polytec holding
AT0000A0E9W5,Kontron,Stock,Europe,Austria,AT,,,Unknown,EUR,False,2,kontron
AT0000A21KS2,Immofinanz,Stock,Europe,Austria,AT,,,Unknown,EUR,False,2,immofinanz
AT0000A25NJ6,Wolftank-Adisa,Stock,Europe,Austria,AT,,,Unknown,EUR,False,2,wolftank-adisa
AT0000A325L0,Austriacard Holdings,Stock,Europe,Austria,AT,,,Unknown,EUR,False,2,austriacard holdings
AT0000A38M45,Cleen Energy,Stock,Europe,Austria,AT,,,Unknown,EUR,False,2,cleen energy
AT0000A3EPA4,ams-OSRAM,Stock,Europe,Austria,AT,,,Unknown,EUR,False,2,ams-osram
AT0000A3FW25,Steyr Motors,Stock,Europe,Austria,AT,,,Unknown,EUR,False,2,steyr motors
AT0000APOST4,Oesterreichische Post,Stock,Europe,Austria,AT,,,Unknown,EUR,False,2,oesterreichische post
